From date;To date;Event;Link
1919;;Invoering van het vrouwenkiesrecht in Nederland;https://nl.wikipedia.org/wiki/Vrouwenkiesrecht_in_Nederland
1932;;Afsluiting van de Zuiderzee: opening van de Afsluitdijk;https://nl.wikipedia.org/wiki/Afsluitdijk
1940;1945;Tweede Wereldoorlog: Nederland bezet door Nazi-Duitsland;https://nl.wikipedia.org/wiki/Nederland_in_de_Tweede_Wereldoorlog
1940;;Bombardement op Rotterdam door de Duitse Luftwaffe;https://nl.wikipedia.org/wiki/Bombardement_op_Rotterdam
1942;;Anne Frank begint haar dagboek te schrijven in Amsterdam;https://nl.wikipedia.org/wiki/Anne_Frank
1944;;Operatie Market Garden: geallieerde luchtlanding in Arnhem;https://nl.wikipedia.org/wiki/Operatie_Market_Garden
1944;1945;Hongerwinter: massale hongersnood in bezet Nederland;https://nl.wikipedia.org/wiki/Hongerwinter
1945;;Bevrijding van Nederland op 5 mei;https://nl.wikipedia.org/wiki/Bevrijdingsdag
1949;;Indonesische onafhankelijkheid erkend door Nederland;https://nl.wikipedia.org/wiki/Indonesische_Onafhankelijkheidsoorlog
1953;;Watersnoodramp: dijken bezwijken in Zeeland en Zuid-Holland;https://nl.wikipedia.org/wiki/Watersnoodramp_1953
1957;;Nederland is medeoprichter van de EEG (Europese Economische Gemeenschap);https://nl.wikipedia.org/wiki/Europese_Economische_Gemeenschap
1959;;Ontdekking van het Groningse gasveld bij Slochteren;https://nl.wikipedia.org/wiki/Groningenveld
1965;;Provo-beweging en rellen in Amsterdam;https://nl.wikipedia.org/wiki/Provo
1975;;Suriname wordt onafhankelijk van Nederland;https://nl.wikipedia.org/wiki/Onafhankelijkheid_van_Suriname
1980;;Kroningsonrust bij inhuldiging van Koningin Beatrix in Amsterdam;https://nl.wikipedia.org/wiki/Koninginnedag_1980
1986;;Officiële opening van de Oosterscheldekering (Deltawerken voltooid);https://nl.wikipedia.org/wiki/Oosterscheldekering
1992;;Vliegramp Bijlmermeer: El Al-vrachtvliegtuig stort neer in Amsterdam;https://nl.wikipedia.org/wiki/Bijlmerramp
2001;;Nederland legaliseert als eerste land ter wereld het homohuwelijk;https://nl.wikipedia.org/wiki/Homohuwelijk_in_Nederland
2002;;Moord op Pim Fortuyn vlak voor de Tweede Kamerverkiezingen;https://nl.wikipedia.org/wiki/Moord_op_Pim_Fortuyn
2004;;Moord op filmmaker Theo van Gogh door Mohammed B.;https://nl.wikipedia.org/wiki/Moord_op_Theo_van_Gogh
2013;;"Inhuldiging van Koning Willem-Alexander; Beatrix doet afstand van de troon";https://nl.wikipedia.org/wiki/Troonswisseling_in_Nederland_%282013%29
2014;;Vlucht MH17 neergeschoten boven Oekraïne: 196 Nederlandse slachtoffers;https://nl.wikipedia.org/wiki/Vlucht_MH17
2019;2022;Stikstofcrisis: boerenprotesten en politieke onrust in Nederland;https://nl.wikipedia.org/wiki/Stikstofcrisis_in_Nederland
2023;;Geert Wilders wint de Tweede Kamerverkiezingen met de PVV;https://nl.wikipedia.org/wiki/Tweede_Kamerverkiezingen_2023
